Artist	Title	Price	Slug
John Ross Key (American, 1837 - 1920)	Trans-Mississippi and International Exposition 1898 - Grand Court		john_ross_key_white_city-html
August Laux (American, 1847 - 1921)	Raspberries and Currants		august_lLaux_raspberries-html
August Laux (American, 1847 - 1921)	She Awaits		august_laux_awaits-html
August Laux (American, 1847 - 1921)	Currants		august_laux_currants2-html
August Laux (American, 1847 - 1921)	Pause on the Path	$6,900	august_laux_path-html
August Laux (American, 1847 - 1921)	Raspberries		august_laux_raspberries-html
Edward T. Vebell (American, born 1921)	Eisenhower	$1,500	edward_t_vebell_eisenhower-html
Edward T. Vebell (American, born 1921)	Lincoln at Gettysburg	$3,500	edward_t_vebell_gettysburg-html
Lloyd Mifflin (American, 1846 - 1921)	Susquehanna Near Columbia, 1885		lloyd_mifflin_susquehenna-html
Robert C. Kluth (American, 1854 - 1921)	Cattle by Stream		robert_c_kluth_cattle-html
Robert C. Kluth (American, 1854 - 1921)	Young Fisherman		robert_c_kluth_fisherman-html
